STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        403;17370601;17370630;    5;  -999;  16.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17370701;17370731;    5;  -999;  16.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17370801;17370831;    5;  -999;  14.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17370901;17370930;    5;  -999;  13.70;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17371001;17371031;    5;  -999;   7.70;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17371101;17371130;    5;  -999;   2.90;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17371201;17371231;    5;  -999;   1.50;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17380101;17380131;    5;  -999;  -0.90;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17380201;17380228;    5;  -999;   1.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17380301;17380331;    5;  -999;   4.70;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17380401;17380430;    5;  -999;  10.10;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17380501;17380531;    5;  -999;  13.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17380601;17380630;    5;  -999;  15.50;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17380701;17380731;    5;  -999;  16.50;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17380801;17380831;    5;  -999;  16.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17380901;17380930;    5;  -999;  13.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17381001;17381031;    5;  -999;   9.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17381101;17381130;    5;  -999;   1.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17381201;17381231;    5;  -999;   2.70;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17390101;17390131;    5;  -999;  -0.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17390201;17390228;    5;  -999;   3.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17390301;17390331;    5;  -999;   4.70;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17390401;17390430;    5;  -999;   6.10;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17390501;17390531;    5;  -999;  14.10;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
